start_station_name,end_station_name,member_casual,avgTemp,season,date,day_name,time_period,rideable_type,daily_rides,trip_duration
Newport Pkwy,South Waterfront Walkway - Sinatra Dr & 1 St,member,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,519.0
9 St HBLR - Jackson St & 8 St,Madison St & 1 St,casual,11.4,winter,2022-01-02,Sunday,Night,electric_bike,1248,312.0
Hoboken Terminal - Hudson St & Hudson Pl,Madison St & 1 St,casual,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,234.0
Clinton St & Newark St,Madison St & 1 St,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,4418.0
Newport Pkwy,Hoboken Terminal - River St & Hudson Pl,member,11.4,winter,2022-01-02,Sunday,Evening,classic_bike,1248,473.0
Clinton St & Newark St,Hoboken Terminal - River St & Hudson Pl,casual,11.4,winter,2022-01-02,Sunday,Morning,electric_bike,1248,171.0
Grant Ave & MLK Dr,Jackson Square,member,11.4,winter,2022-01-02,Sunday,Evening,electric_bike,1248,82.0
7 St & Monroe St,7 St & Monroe St,casual,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,34.0
Warren St,Washington St,casual,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,4966.0
11 St & Washington St,9 St HBLR - Jackson St & 8 St,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,705.0
8 St & Washington St,9 St HBLR - Jackson St & 8 St,member,11.4,winter,2022-01-02,Sunday,Evening,classic_bike,1248,228.0
11 St & Washington St,9 St HBLR - Jackson St & 8 St,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,426.0
Hoboken Ave at Monmouth St,Hudson St & 4 St,member,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,768.0
Church Sq Park - 5 St & Park Ave,Hoboken Terminal - River St & Hudson Pl,casual,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,757.0
Columbus Park - Clinton St & 9 St,JC Medical Center,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,1379.0
Church Sq Park - 5 St & Park Ave,Church Sq Park - 5 St & Park Ave,member,11.4,winter,2022-01-02,Sunday,Evening,electric_bike,1248,35.0
Columbus Park - Clinton St & 9 St,Hoboken Terminal - Hudson St & Hudson Pl,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,422.0
Hilltop,Newark Ave,member,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,264.0
Grove St PATH,Newark Ave,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,119.0
Newark Ave,Newark Ave,member,11.4,winter,2022-01-02,Sunday,Night,electric_bike,1248,39.0
12 St & Sinatra Dr N,,member,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,77492.0
Jersey & 6th St,,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,89986.0
Washington St,Hilltop,casual,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,695.0
Willow Ave & 12 St,4 St & Grand St,member,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,327.0
Hoboken Terminal - River St & Hudson Pl,4 St & Grand St,member,11.4,winter,2022-01-02,Sunday,Night,classic_bike,1248,312.0
4 St & Grand St,4 St & Grand St,member,11.4,winter,2022-01-02,Sunday,Evening,classic_bike,1248,590.0
Liberty Light Rail,Grove St PATH,member,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,419.0
Baldwin at Montgomery,Grove St PATH,member,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,498.0
Monmouth and 6th,Brunswick & 6th,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,65.0
Monmouth and 6th,Brunswick & 6th,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,61.0
Grove St PATH,City Hall,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,67.0
Brunswick St,Morris Canal,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,2391.0
Brunswick St,Brunswick St,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,4165.0
South Waterfront Walkway - Sinatra Dr & 1 St,South Waterfront Walkway - Sinatra Dr & 1 St,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,2374.0
Montgomery St,Hamilton Park,member,11.4,winter,2022-01-02,Sunday,Night,classic_bike,1248,442.0
Hoboken Terminal - Hudson St & Hudson Pl,Hamilton Park,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,1095.0
Hoboken Ave at Monmouth St,Hamilton Park,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,1415.0
Manila & 1st,Hamilton Park,member,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,229.0
Newport Pkwy,Hamilton Park,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,413.0
4 St & Grand St,Hoboken Terminal - Hudson St & Hudson Pl,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,549.0
Newark Ave,Hamilton Park,member,11.4,winter,2022-01-02,Sunday,Evening,classic_bike,1248,1506.0
Hudson St & 4 St,12 St & Sinatra Dr N,member,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,316.0
6 St & Grand St,Clinton St & 7 St,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,1967.0
Adams St & 2 St,Clinton St & 7 St,casual,11.4,winter,2022-01-02,Sunday,Night,electric_bike,1248,389.0
Glenwood Ave,Warren St,member,11.4,winter,2022-01-02,Sunday,Evening,electric_bike,1248,775.0
South Waterfront Walkway - Sinatra Dr & 1 St,Newport Pkwy,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,448.0
South Waterfront Walkway - Sinatra Dr & 1 St,Newport Pkwy,casual,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,648.0
Brunswick St,Grove St PATH,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,397.0
Hamilton Park,Newark Ave,member,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,226.0
Sip Ave,Bergen Ave,casual,11.4,winter,2022-01-02,Sunday,Night,electric_bike,1248,298.0
Sip Ave,Bergen Ave,member,11.4,winter,2022-01-02,Sunday,Evening,classic_bike,1248,411.0
Bergen Ave,Sip Ave,member,11.4,winter,2022-01-02,Sunday,Evening,classic_bike,1248,491.0
Newport PATH,Liberty Light Rail,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,919.0
Newport PATH,Warren St,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,1200.0
Newport PATH,Warren St,member,11.4,winter,2022-01-02,Sunday,Evening,electric_bike,1248,274.0
Newport PATH,Newport Pkwy,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,146.0
6 St & Grand St,Grand St & 14 St,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,316.0
Clinton St & Newark St,Grand St & 14 St,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,459.0
Grand St & 14 St,12 St & Sinatra Dr N,member,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,342.0
Grand St & 14 St,Hoboken Ave at Monmouth St,casual,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,985.0
Jersey & 6th St,Jersey & 3rd,member,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,78.0
Bergen Ave,Washington St,member,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,908.0
Jersey & 3rd,Brunswick St,member,11.4,winter,2022-01-02,Sunday,Evening,classic_bike,1248,190.0
Marin Light Rail,Jersey & 3rd,casual,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,366.0
Hamilton Park,Jersey & 3rd,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,138.0
McGinley Square,Sip Ave,member,11.4,winter,2022-01-02,Sunday,Evening,electric_bike,1248,207.0
Madison St & 10 St,Grand St & 14 St,casual,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,517.0
Van Vorst Park,Hamilton Park,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,382.0
11 St & Washington St,Madison St & 10 St,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,273.0
Newport PATH,Newport PATH,member,11.4,winter,2022-01-02,Sunday,Afternoon,classic_bike,1248,1479.0
South Waterfront Walkway - Sinatra Dr & 1 St,Baldwin at Montgomery,casual,11.4,winter,2022-01-02,Sunday,Afternoon,electric_bike,1248,1937.0
Marin Light Rail,Marin Light Rail,member,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,2626.0
Journal Square,Pershing Field,casual,11.4,winter,2022-01-02,Sunday,Evening,electric_bike,1248,449.0
Madison St & 10 St,Madison St & 1 St,member,11.4,winter,2022-01-02,Sunday,Morning,classic_bike,1248,409.0
Grove St PATH,Montgomery St,casual,1.4,winter,2022-01-03,Monday,Evening,classic_bike,832,473.0
Madison St & 1 St,Hoboken Terminal - Hudson St & Hudson Pl,member,1.4,winter,2022-01-03,Monday,Morning,classic_bike,832,287.0
City Hall - Washington St & 1 St,Hoboken Terminal - Hudson St & Hudson Pl,member,1.4,winter,2022-01-03,Monday,Night,classic_bike,832,76.0
Paulus Hook,Jersey & 6th St,member,1.4,winter,2022-01-03,Monday,Evening,classic_bike,832,571.0
12 St & Sinatra Dr N,Clinton St & 7 St,member,1.4,winter,2022-01-03,Monday,Afternoon,electric_bike,832,304.0
Grove St PATH,Harborside,member,1.4,winter,2022-01-03,Monday,Afternoon,classic_bike,832,278.0
Brunswick & 6th,Manila & 1st,member,1.4,winter,2022-01-03,Monday,Afternoon,classic_bike,832,4957.0
Hoboken Ave at Monmouth St,City Hall - Washington St & 1 St,member,1.4,winter,2022-01-03,Monday,Evening,electric_bike,832,426.0
Columbus Dr at Exchange Pl,Harborside,casual,1.4,winter,2022-01-03,Monday,Night,classic_bike,832,273.0
Hoboken Ave at Monmouth St,Newport Pkwy,member,1.4,winter,2022-01-03,Monday,Afternoon,classic_bike,832,1271.0
Grove St PATH,Baldwin at Montgomery,member,1.4,winter,2022-01-03,Monday,Afternoon,electric_bike,832,403.0
Christ Hospital,Marshall St & 2 St,member,1.4,winter,2022-01-03,Monday,Morning,classic_bike,832,314.0
Hoboken Terminal - Hudson St & Hudson Pl,Mama Johnson Field - 4 St & Jackson St,member,1.4,winter,2022-01-03,Monday,Evening,electric_bike,832,347.0
Union St,Sip Ave,member,1.4,winter,2022-01-03,Monday,Afternoon,classic_bike,832,889.0
Sip Ave,Journal Square,member,1.4,winter,2022-01-03,Monday,Afternoon,classic_bike,832,121.0
Grove St PATH,Clinton St & 7 St,member,1.4,winter,2022-01-03,Monday,Morning,electric_bike,832,786.0
Paulus Hook,Columbus Drive,member,1.4,winter,2022-01-03,Monday,Afternoon,classic_bike,832,369.0
